"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2004","Confirmed","Arnnel Manalo",,"Philippines",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Bulgar and DZRH Radio","Broadcast Reporter,Print Reporter","Corruption,Politics","Print,Radio","Philippines","Bauan",,,"Bauan",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1994","Confirmed","Artur Gilela",,"Angola",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Nacional de Angola","Technician","War","Radio","Angola","Kuito",,,"Kuito",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Arturo Betia",,"Philippines",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Periodico Ini","Print Reporter","Politics","Print","Philippines","Ampatuan",,,"Ampatuan",,"Local","Government Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2004","Confirmed","Asaad Kadhim",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Iraqiya TV","Broadcast Reporter","War","Television","Iraq","near Samara",,,"near Samara",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2011","Confirmed","Asfandyar Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Akhbar-e-Khyber","Print Reporter","Crime,Politics","Print","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Ashok Sodhi",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ashok_sodhi_india_2008.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Daily Excelsior","Photographer",,"Print","India","Samba",,,"Samba",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Asiya Jeelani",,"India",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Print Reporter","Human Rights","Print","India","Kashmir",,,"Kashmir",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Aslam Durrani",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Daily Pakistan","Editor","Politics","Print","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Assaf Abu Rahal",,"Lebanon",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/assaf.jpg","Photo: Al-Akhbar","Journalist",,"Crossfire","Killed","Staff","Al-Akhbar","Print Reporter","War","Print","Lebanon","an area near Al-Adaysseh",,,"an area near Al-Adaysseh",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2006","Confirmed","Aswan Ahmed Lutfallah",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/aswan_ahmed_lutfallah_iraq_2006.jpg","AP","Journalist",,"Murder","Killed","Staff","APTN","Camera Operator","War","Television","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2014","Confirmed","Atallah Bajbouj",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Nabaa Media Foundation","Camera Operator,Internet Reporter","Human Rights,Politics,War","Internet","Syria","Daraa",,,"Daraa",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Athiwat Chaiyanurat",,"Thailand",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Matichon, Channel 7","Broadcast Reporter,Print Reporter","Corruption","Print,Television","Thailand","Chaiyamontri",,,"Chaiyamontri",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2006","Confirmed","Atilano Segundo Pérez Barrios",,"Colombia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Vigía de Todelar","Columnist/Commentator","Corruption,Politics","Radio","Colombia","Cartagena",,,"Cartagena",,"Local","Paramilitary Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2006","Confirmed","Atwar Bahjat",,"Iraq",,,"Female","https://cpj-photos.s3-us-west-2.amazonaws.com/atwar_bahjat_iraq_2006.jpg","Al-Aarabiya","Journalist",,"Murder","Killed","Staff","Al-Arabiya","Broadcast Reporter","War","Television","Iraq","Samarra",,,"Samarra",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2014","Confirmed","Aung Kyaw Naing, ""Par Gyi""",,"Myanmar",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Killed-Burma-Par-Gyi-Reuters.jpg","Reuters/Soe Zeya Tun","Journalist",,"Murder","Killed","Freelance","Freelance","Photographer,Print Reporter","Human Rights,War","Print","Myanmar","Kyaikmayaw",,,"Kyaikmayaw",,"Local","Military Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2015","Confirmed","Avijit Roy",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/avijit.roy.ap.jpg","AP","Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet","Bangladesh","Dhaka",,,"Dhaka",,"Foreign","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2016","Confirmed","Awab al-Zubiry",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator,Photographer","Politics,War","Internet","Yemen","Taiz",,,"Taiz",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Awil Dahir Salad",,"Somalia",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Universal TV","Broadcast Reporter","Politics","Radio,Television","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2012","Confirmed","Ayham Mostafa Ghazzoul",,"Syria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Syrian Center for Media and Freedom of Expression","Broadcast Reporter","Human Rights,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Ayoub Mohamed",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ayoub_mohamed_iraq_2004.jpg","","Journalist",,"Crossfire","Killed","Freelance","Kurdistan TV","Camera Operator","Culture,Sports","Television","Iraq","Arbil",,,"Arbil",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1993","Confirmed","Aysel Malkac",,"Turkey",,,"Female",,,"Journalist",,"Murder","Killed","Staff","Ozgur Gundem","Print Reporter","Culture,Human Rights,Politics","Print","Turkey","Istanbul",,,"Istanbul",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2013","Confirmed","Ayub Khattak",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Karak Times","Print Reporter","Crime","Print","Pakistan","Karak District",,,"Karak District",,"Local","Criminal Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2010","Confirmed","Azamat Ali Bangash",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Broadcast Reporter,Internet Reporter",,"Television","Pakistan","Orakzai",,,"Orakzai",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2001","Confirmed","Azizullah Haidari",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/azizullah_haidari_afghanistan_2001.jpg","","Journalist",,"Murder","Killed","Staff","Reuters","Photographer","War","Print","Afghanistan","Nangarhar Province",,,"Nangarhar Province","Nangarhar Province","Local","Paramilitary Group","Confirmed",,,"Full Justice","No","Yes","No",,,,,,,,,
"1995","Confirmed","Azzedine Saidj",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El-Ouma","Editor","Culture,Politics,War","Print","Algeria","near Algiers",,,"near Algiers",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1995","Confirmed","Bakhti Benaouda",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El-Djoumhouria","Columnist/Commentator","Politics","Print","Algeria","Oran",,,"Oran",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2004","Confirmed","Bala Nadarajah Iyer",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Thinamurasu and Thinakaran","Print Reporter","Human Rights,Politics","Print","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2005","Confirmed","Bardhyl Ajeti",,"Serbia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Bota Sot","Columnist/Commentator,Print Reporter","Politics","Print","Serbia","an area outside Pristina",,,"an area outside Pristina",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2010","Confirmed","Barkhat Awale",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Barqad%252520Awale%252520Adan1.jpg","SOMEPED","Journalist",,"Crossfire","Killed","Staff","Hurma Radio","Editor","Culture,War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Basel Tawfiq Youssef",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Syrian State TV","Broadcast Reporter","Politics,War","Television","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Bashar al-Attar",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Arbin Unified Media Office","Photographer","War","Internet","Syria","Arbin",,,"Arbin","eastern Ghouta","Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"2013","Confirmed","Bashar al-Nuaimi",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Mosuliya TV","Camera Operator,Photographer","Corruption,Culture,Politics,War","Television","Iraq","Mosul",,,"Mosul",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Bashiir Noor Gedi",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Shabelle","Editor,Producer","War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Basil al-Sayed",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/al-sayed1.jpg","","Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Camera Operator","Human Rights,Politics","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Basil Ibrahim Faraj",,"Israel and the Occupied Palestinian Territory",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Palestinian Media and Communication Company","Camera Operator","Politics,War","Television","Israel and the Occupied Palestinian Territory","Gaza ",,,"Gaza ",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Bassel al-Shahade",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Bassem Fawaz al-Zabi",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,Politics","Internet","Syria","Daraa",,,"Daraa",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Batoul Mokhles al-Warrar",,"Syria",,,"Female",,,"Journalist",,"Crossfire","Killed","Staff","Noor al-Sham; Radio Damascus","Broadcast Reporter","Politics,War","Radio,Television","Syria","Damascus",,,"Damascus",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Bayo Ohu",,"Nigeria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Bayo%252520Ohu%252520%252528AFP%252529.JPG","AFP","Journalist",,"Murder","Killed","Staff","The Guardian","Editor,Print Reporter","Politics","Print","Nigeria","Lagos",,,"Lagos",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1997","Confirmed","Benjamín Flores González",,"Mexico",,,"Male",,,"Journalist",,"Murder","Killed","Staff","La Prensa","Editor,Publisher/Owner","Corruption,Crime","Print","Mexico","San Luis Río Colorado",,,"San Luis Río Colorado",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1998","Confirmed","Bernabé Cortés Valderrama",,"Colombia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Noticias CVN","Broadcast Reporter","Corruption,Crime","Television","Colombia","Cali",,,"Cali",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2015","Confirmed","Bernard Maris",,"France",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Columnist/Commentator","Business","Print,Internet","France","Paris",,,"Paris",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2015","Confirmed","Bernard Verlhac (Tignous)",,"France",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/tignous%252520RTR4KHGF.jpg","Reuters","Journalist",,"Murder","Killed","Freelance","Freelance","Columnist/Commentator","Culture,Human Rights,Politics","Print,Internet","France","Paris",,,"Paris",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"1993","Confirmed","Bhola Nath Masoom",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Hind Samachar","Print Reporter","Business,Culture,Politics","Print","India","Rajpura",,,"Rajpura",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2009","Confirmed","Bienvenido Legarte Jr.",,"Philippines",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Prontiera News","Print Reporter,Publisher/Owner","Politics","Print","Philippines","Ampatuan",,,"Ampatuan",,"Local","Government Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"1993","Confirmed","Bienvenido Lemos",,"Colombia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Caracol Radio","Broadcast Reporter",,"Radio","Colombia","Buenaventura",,,"Buenaventura",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2014","Confirmed","Bilal Ahmed Bilal",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/bilal.ahmed.bilal.facebook.jpg","Facebook","Journalist",,"Dangerous Assignment","Killed","Staff","Palestine Today TV","Broadcast Reporter,Producer","Human Rights,Politics,War","Television","Syria","Sednaya",,,"Sednaya",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Bilal Sharaf al-Deen",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Masirah TV","Camera Operator","Politics,War","Television","Yemen","Sana'a",,,"Sana'a",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2007","Confirmed","Birendra Shah",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Nepal FM, Dristi Weekly, and Avenues TV","Broadcast Reporter,Print Reporter","Crime","Print,Radio,Television","Nepal","Bara district",,,"Bara district",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","Yes","Yes",,,,,,,,,
"2009","Confirmed","Bladimir Antuna García",,"Mexico",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El Tiempo de Durango","Print Reporter","Corruption,Crime","Print","Mexico","Durango",,,"Durango",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","Yes","Yes",,,,,,,,,
"2003","Confirmed","Bonifacio Gregorio",,"Philippines",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Dyaryo Banat","Columnist/Commentator,Print Reporter","Corruption","Print","Philippines","La Paz, Tarlac",,,"La Paz, Tarlac",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1997","Confirmed","Borys Derevyanko",,"Ukraine",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Vechernyaya Odessa","Editor","Politics","Print","Ukraine","Odessa",,,"Odessa",,"Local","Government Officials","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2015","Confirmed","Boutros Martin",,"South Sudan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","South Sudan Television","Camera Operator","Politics,War","Television","South Sudan","Western Bahr al Ghazal state",,"Western Bahr al Ghazal state","Western Bahr al Ghazal state",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Bradley Will",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/will.2.mexico.2006.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Camera Operator,Internet Reporter,Producer","Human Rights","Internet","Mexico","Santa Lucía del Camino",,,"Santa Lucía del Camino",,"Foreign","Government Officials","Confirmed",,,,,,,,,,,,,,,
"1995","Confirmed","Brahim Guaraoui",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El-Moudjahid","Columnist/Commentator","Politics","Print","Algeria","Algiers",,,"Algiers",,"Local",,"Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"1994","Confirmed","Brian Brinton",,"Bosnia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","War","Print","Bosnia","an area near Mostar",,,"an area near Mostar",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"1995","Confirmed","Brian Smith",,"Canada",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Smith.Canada.1995.jpg","CJOH","Journalist",,"Murder","Killed","Staff","CJOH-TV","Broadcast Reporter","Sports","Television","Canada","Ottawa",,,"Ottawa",,"Local","Local Residents","Confirmed",,,"Full Justice","No","No","No",,,,,,,,,
"2001","Confirmed","Brignol Lindor",,"Haiti",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/brignol_lindor_haiti_2001.jpg","","Journalist",,"Murder","Killed","Staff","Radio Echo 2000","Columnist/Commentator,Producer","Human Rights,Politics","Radio","Haiti","Petit-Goâve",,,"Petit-Goâve",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2004","Confirmed","Burhan Mohamed Mazhour",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","ABC","Camera Operator","War","Television","Iraq","Fallujah",,,"Fallujah",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Byron Baldeón",,"Ecuador",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Photographer","Crime","Print","Ecuador","El Triunfo",,,"El Triunfo",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1993","Confirmed","Calvin Thusago",,"South Africa",,,"Male",,,"Journalist",,"Murder","Killed","Staff","South African Broadcasting Corporation (SABC)","Broadcast Reporter","Human Rights","Television","South Africa","an area near Sharpeville",,,"an area near Sharpeville",,"Local","Mob Violence","Confirmed",,,"Full Justice","No","No","No",,,,,,,,,
"2014","Confirmed","Camille Lepage",,,,,"Female","https://cpj-photos.s3-us-west-2.amazonaws.com/camille.lepage.afp.jpg","(AFP)","Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Photographer","Human Rights,War","Print,Internet","Central African Republic","Bouar Region","Bouar Region",,"Bouar Region",,"Foreign","Paramilitary Group","Confirmed",,,,,,,,,,,,,,,
"2001","Confirmed","Candelario Cayona",,"Philippines",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio DXLL","Columnist/Commentator","Human Rights,Politics,War","Radio","Philippines","Zamboanga City",,,"Zamboanga City",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2010","Confirmed","Carlos Alberto Guajardo Romero",,"Mexico",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Carlos%252520Alberto%252520Guajardo.jpg","(Expreso Matamoros)","Journalist",,"Dangerous Assignment","Killed","Staff","Expreso Matamoros","Print Reporter","Crime","Print","Mexico","Matamoros",,,"Matamoros",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2000","Confirmed","Carlos Cardoso",,"Mozambique",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/cardoso_mozambique_2000.jpg","","Journalist",,"Murder","Killed","Staff","Metical","Editor","Business,Corruption,Crime","Print","Mozambique","Maputo",,,"Maputo",,"Local","Criminal Group","Confirmed",,,"Full Justice","No","No","Yes",,,,,,,,,
"2018","Confirmed","Carlos Domínguez Rodríguez",,"Mexico",,,"Male",,,"Journalist","Killed","Murder","Killed","Freelance","Freelance","Columnist/Commentator","Corruption,Crime,Politics","Print,Internet","Mexico","Nuevo Laredo",,"Tamaulipas","Nuevo Laredo",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1993","Confirmed","Carlos Grant",,"Honduras",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El Tiempo","Print Reporter","Business,Crime","Print","Honduras","El Progreso",,,"El Progreso",,"Local","Local Residents","Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2004","Confirmed","Carlos José Guadamuz",,"Nicaragua",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Canal 23","Broadcast Reporter,Columnist/Commentator","Politics","Television","Nicaragua","Managua",,,"Managua",,"Local","Local Residents","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1993","Confirmed","Carlos Lajud Catalan",,"Colombia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","ABC Radio","Broadcast Reporter","Corruption,Politics","Radio","Colombia","Barranquilla",,,"Barranquilla",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Carlos Quispe Quispe",,"Bolivia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Municipal","Broadcast Reporter","Politics","Radio","Bolivia","Pucarani",,,"Pucarani",,"Local","Mob Violence","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Carlos Salgado",,"Honduras",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/carlos_salgado_honduras_2007.jpg","","Journalist",,"Murder","Killed","Staff","Radio Cadena Voces","Columnist/Commentator","Corruption","Radio","Honduras","Tegucigalpa",,,"Tegucigalpa",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2008","Confirmed","Carsten Thomassen",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/carsten_thomassen_afghanistan_2008.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Dagbladet","Print Reporter","Politics,War","Print","Afghanistan","Kabul",,,"Kabul",,"Foreign","Political Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Cecilio Pineda Birto",,"Mexico",,,"Male",,,"Journalist","Killed","Murder","Killed","Freelance","Freelance","Internet Reporter,Print Reporter","Crime,Corruption","Print,Internet","Mexico","Ciudad Altamirano, Guerrero",,,"Ciudad Altamirano, Guerrero",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1992","Confirmed","Cengiz Altun",,"Turkey",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Yeni Ulke","Print Reporter","Corruption,Politics","Print","Turkey","Batman",,,"Batman",,"Local","Paramilitary Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1992","Confirmed","Cetin Abayay",,"Turkey",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Ozgur Halk","Editor",,"Print","Turkey","Batman",,,"Batman",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2008","Confirmed","Chalee Boonsawat",,"Thailand",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Thai Rath","Print Reporter","War","Print","Thailand","Sungai Kolok",,,"Sungai Kolok",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1994","Confirmed","Chan Dara",,"Cambodia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Koh Santepheap","Print Reporter","Corruption","Print","Cambodia","Kompong Cham",,,"Kompong Cham",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2018","Confirmed","Chandan Tiwari",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Aj Newspaper","Print Reporter","Corruption,Crime,Politics","Print","India","Chatra",,"Jharkhand","Chatra",,"Local","Criminal Group,Local Residents","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"1994","Confirmed","Charles Bideri-Munyangabe",,"Rwanda",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Le Messager","Print Reporter","Human Rights,Politics","Print","Rwanda","Kigali",,,"Kigali",,"Local","Paramilitary Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1994","Confirmed","Charles Karinganire",,"Rwanda",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Le Flambeau","Print Reporter","Human Rights,Politics","Print","Rwanda","Kigali",,,"Kigali",,"Local","Paramilitary Group","Confirmed",,,"Complete Impunity","Yes","No","Yes",,,,,,,,,
"2007","Confirmed","Chauncey Bailey",,"USA",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/chauncey_bailey_us_2007.jpg","","Journalist",,"Murder","Killed","Staff","Oakland Post","Editor","Business,Corruption,Crime,Culture,Politics","Print","USA","Oakland",,,"Oakland",,"Local","Criminal Group","Confirmed",,,"Full Justice","No","No","Yes",,,,,,,,,
"1997","Confirmed","Chet Duong Daravuth",,"Cambodia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Neak Prayuth","Print Reporter","Politics","Print","Cambodia","Phnom Penh",,,"Phnom Penh",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Chief Ebrima Manneh",,,,,,,,"Journalist","Killed","Unknown","Killed","Staff","Daily Observer","Print Reporter","Politics","Print","Gambia",,,,,,"Local","Government Officials,Military Officials","Confirmed",,,,,,,,,,,,,,,
"1992","Confirmed","Chingiz Fuad-ogly Mustafayev",,"Azerbaijan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","DR-Press","Photographer,Print Reporter","Human Rights,War","Print","Azerbaijan","Nagorno-Karabakh",,,"Nagorno-Karabakh",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Chishti Mujahid",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Akbar-e-Jehan","Columnist/Commentator,Photographer","Corruption,Politics,War","Print","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2003","Confirmed","Chou Chetharith",,"Cambodia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Ta Prum","Producer","Politics","Radio","Cambodia","Phnom Penh",,,"Phnom Penh",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
